district	total_area	repair	year	distance	cost
3.0	43	0	56	9	0.245
3.0	48	0	5	9	0.32
1.0	44	-1	46	7	0.243
3.0	45	-1	56	9	0.214
1.0	47	-1	34	7	0.33
2.0	73	0	11	8	0.57
1.0	43	-1	50	4	0.242
3.0	42	0	54	6	0.23
2.0	48	0	34	3	0.32799999999999996
1.0	66	0	12	7	0.6279
1.0	47	0	39	2	0.37
3.0	41	0	50	12	0.209
3.0	51	0	3	4	0.35
1.0	62	0	57	3	0.375
1.0	48	-1	60	3	0.3720000000000001
1.0	44	-1	56	4	0.325
1.0	47	-1	31	9	0.292
2.0	52	-1	0	11	0.265
2.0	41	0	57	5	0.225
3.0	53	-1	4	9	0.37
3.0	56	0	23	10	0.337
1.0	62	0	12	7	0.55
2.0	46	0	59	3	0.27
1.0	44	-1	47	7	0.25
1.0	50	0	59	3	0.2599
1.0	66	0	5	2	0.69
1.0	47	-1	39	5	0.3
2.0	48	0	36	7	0.2999
3.0	61	0	10	11	0.3995
1.0	43	0	41	3	0.275
1.0	43	0	44	2	0.275
1.0	43	0	46	7	0.27
2.0	43	-1	46	2	0.25
2.0	45	0	46	4	0.26
2.0	53	-1	5	5	0.395
1.0	60	-1	35	5	0.39
1.0	42	-1	54	4	0.24
1.0	49	0	38	3	0.375
1.0	37	0	48	4	0.257
1.0	43	0	49	2	0.28800000000000003
3.0	50	0	40	11	0.275
1.0	44	0	55	4	0.2399
0.0	45	-1	54	2	0.342
1.0	48	0	33	4	0.319
0.0	45	0	48	1	0.31
3.0	54	-1	15	10	0.29
1.0	48	0	39	5	0.31
1.0	50	-1	59	5	0.3
3.0	43	-1	54	10	0.215
2.0	72	-1	0	9	0.33
2.0	44	-1	50	3	0.23
1.0	51	0	28	2	0.39
3.0	55	0	35	5	0.265
2.0	74	0	11	5	0.465
2.0	48	-1	14	11	0.31
3.0	44	-1	38	10	0.25
0.0	96	0	19	0	0.81
1.0	53	0	26	1	0.44
1.0	43	-1	33	3	0.265
1.0	55	-1	23	4	0.355
2.0	68	-1	0	7	0.35345
3.0	50	-1	27	5	0.285
2.0	65	-1	6	2	0.47700000000000004
3.0	40	0	49	12	0.22
1.0	66	0	7	3	0.509
1.0	47	-1	12	8	0.375
1.0	48	0	24	8	0.332
3.0	59	0	10	4	0.39
2.0	42	0	58	5	0.23
1.0	46	-1	51	4	0.2499
2.0	35	0	42	2	0.205
3.0	47	0	23	5	0.28
1.0	54	0	25	8	0.348
1.0	47	0	40	5	0.32899999999999996
2.0	53	0	5	15	0.32
2.0	43	0	47	5	0.27
1.0	47	0	19	6	0.389
1.0	74	0	5	4	0.54
3.0	48	0	37	10	0.265
1.0	48	0	27	5	0.355
2.0	45	0	50	3	0.225
1.0	40	0	30	5	0.26
1.0	57	0	62	3	0.43
0.0	47	-1	31	1	0.375
3.0	47	0	43	4	0.311
3.0	43	-1	45	11	0.255
2.0	44	0	41	6	0.28
2.0	48	0	27	7	0.315
2.0	42	-1	36	6	0.275
1.0	37	0	41	2	0.259
2.0	47	-1	36	6	0.265
3.0	43	0	56	4	0.22
2.0	54	0	9	3	0.368
3.0	56	-1	3	10	0.305
2.0	75	0	19	3	0.39
2.0	67	0	9	1	0.545
1.0	80	0	13	3	0.57
2.0	45	-1	38	2	0.295
1.0	44	0	38	3	0.41
1.0	50	0	28	2	0.425
3.0	38	0	57	4	0.24
1.0	43	0	49	2	0.275
3.0	60	-1	10	9	0.34
2.0	48	-1	35	7	0.2799
2.0	44	-1	56	3	0.245
2.0	59	0	61	1	0.32899999999999996
3.0	37	0	65	5	0.18
3.0	43	-1	46	5	0.249
0.0	44	-1	57	2	0.31
3.0	62	0	7	12	0.35
1.0	53	-1	11	4	0.485
2.0	51	0	34	7	0.32
1.0	47	0	33	5	0.31
2.0	42	0	54	2	0.26
1.0	43	0	45	7	0.31
1.0	47	0	44	8	0.295
1.0	39	-1	45	2	0.285
2.0	43	-1	55	3	0.239
1.0	48	0	34	5	0.315
0.0	53	-1	60	0	0.35
2.0	47	0	33	3	0.31
2.0	51	-1	26	3	0.275
3.0	45	0	45	6	0.19
1.0	41	0	53	4	0.285
2.0	65	0	5	11	0.38
3.0	55	-1	62	11	0.25
1.0	76	0	16	5	0.53
3.0	34	0	45	6	0.16899999999999998
2.0	58	0	14	5	0.35
2.0	50	-1	38	3	0.275
1.0	49	0	18	6	0.445
1.0	60	0	6	5	0.57
3.0	44	-1	52	8	0.223
3.0	49	-1	21	8	0.29
1.0	73	-1	1	3	0.32
